well_id,timestamp,css_cycle_id,cycle_day,cycle_phase,reservoir_pressure,reservoir_temperature,oil_viscosity,api_gravity,asphaltene_content,steam_rate,steam_volume,steam_temperature,injection_pressure,injection_duration,soak_time,days_since_previous_css,stroke_length,spm,vfd_frequency,rod_load,pump_load,pump_fillage,current_oil_rate,current_water_rate,current_energy,fluid_level,future_reservoir_temperature_24h,future_oil_rate_24h,rod_floating_next_24h
BGW_01,2025-01-28 00:00:00,1,1,INJECTION,37.34,52.31,9665.0,17.85,6.98,5.14,2219.6,288.2,160.16,18.0,50.1,1,61,0.4,21.68,6.05,40.84,87.92,42.53,14.57,146.33,803.8,53.99,48.17,0
BGW_01,2025-01-28 06:00:00,1,1,INJECTION,37.34,52.02,9567.7,17.85,6.98,5.14,2219.6,288.2,160.16,18.0,50.1,1,61,0.4,21.0,6.05,40.84,87.92,43.74,14.57,146.33,803.8,53.84,48.75,0
BGW_01,2025-01-28 12:00:00,1,1,INJECTION,37.34,52.34,9565.7,17.85,6.98,5.14,2219.6,288.2,160.16,18.0,50.1,1,61,0.4,20.66,6.05,40.84,87.92,45.21,14.57,146.33,803.8,53.88,45.71,0
BGW_01,2025-01-28 18:00:00,1,1,INJECTION,37.34,52.16,9473.6,17.85,6.98,5.14,2219.6,288.2,160.16,18.0,50.1,1,61,0.43,20.74,6.05,40.84,87.92,42.25,14.57,146.33,803.8,53.78,46.41,0
BGW_01,2025-01-29 00:00:00,1,2,INJECTION,37.88,52.96,9414.3,17.85,6.98,2.35,1015.4,314.6,170.17,18.0,54.6,2,61,0.59,23.72,6.74,42.58,87.78,45.68,3.28,164.87,811.6,53.68,47.75,0
BGW_01,2025-01-29 06:00:00,1,2,INJECTION,37.88,52.84,9439.2,17.85,6.98,2.35,1015.4,314.6,170.17,18.0,54.6,2,61,0.6,23.98,6.74,42.58,87.78,45.8,3.28,164.87,811.6,53.55,48.34,0
BGW_01,2025-01-29 12:00:00,1,2,INJECTION,37.88,53.16,9153.0,17.85,6.98,2.35,1015.4,314.6,170.17,18.0,54.6,2,61,0.59,24.09,6.74,42.58,87.78,45.23,3.28,164.87,811.6,53.73,47.45,0
BGW_01,2025-01-29 18:00:00,1,2,INJECTION,37.88,53.07,9973.9,17.85,6.98,2.35,1015.4,314.6,170.17,18.0,54.6,2,61,0.57,24.88,6.74,42.58,87.78,45.42,3.28,164.87,811.6,53.79,47.06,0
BGW_01,2025-01-30 00:00:00,1,3,INJECTION,38.4,53.72,8830.4,17.85,6.98,1.21,523.7,293.0,152.48,18.0,61.5,3,74,0.66,27.83,5.91,42.44,88.79,48.65,14.44,187.47,801.0,54.1,50.11,0
BGW_01,2025-01-30 06:00:00,1,3,INJECTION,38.4,53.81,8957.5,17.85,6.98,1.21,523.7,293.0,152.48,18.0,61.5,3,74,0.62,28.33,5.91,42.44,88.79,48.06,14.44,187.47,801.0,54.21,50.61,0
BGW_01,2025-01-30 12:00:00,1,3,INJECTION,38.4,53.98,8644.3,17.85,6.98,1.21,523.7,293.0,152.48,18.0,61.5,3,74,0.69,27.29,5.91,42.44,88.79,47.44,14.44,187.47,801.0,54.39,49.55,0
BGW_01,2025-01-30 18:00:00,1,3,INJECTION,38.4,53.46,8880.7,17.85,6.98,1.21,523.7,293.0,152.48,18.0,61.5,3,74,0.71,27.37,5.91,42.44,88.79,47.77,14.44,187.47,801.0,53.77,48.27,0
BGW_01,2025-01-31 00:00:00,1,4,INJECTION,37.77,64.65,6140.7,17.85,6.98,5.01,2162.7,293.5,156.01,18.0,80.4,4,74,0.75,30.18,6.34,42.92,90.5,59.73,11.4,203.03,772.4,65.66,60.87,0
BGW_01,2025-01-31 06:00:00,1,4,INJECTION,37.77,64.99,6310.2,17.85,6.98,5.01,2162.7,293.5,156.01,18.0,80.4,4,74,0.7,29.54,6.34,42.92,90.5,59.09,11.4,203.03,772.4,66.13,62.47,0
BGW_01,2025-01-31 12:00:00,1,4,INJECTION,37.77,64.57,6316.8,17.85,6.98,5.01,2162.7,293.5,156.01,18.0,80.4,4,74,0.64,30.85,6.34,42.92,90.5,59.27,11.4,203.03,772.4,65.65,62.17,1
